direccion,latitude,longitude,numero,compromiso,accion
Avenida Costanera Rafael Obligado,-34.558801,-58.418711,40,110 hectáreas de nuevo espacio verde público (2019),Aeroparque
Av. Don Pedro de Mendoza y Av. Regimiento de los Patricios,-34.649606,-58.367373,40,110 hectáreas de nuevo espacio verde público (2019),Camino de Sirga Etapa 1
Pedro de Luján y Río Limay,-34.657417,-58.384068,40,110 hectáreas de nuevo espacio verde público (2019),Camino de Sirga Etapa 2
Iguazú,-34.659419,-58.401969,40,110 hectáreas de nuevo espacio verde público (2019),Camino de Sirga Etapa 3
Av. Medrano y Bartolomé Mitre,-34.60952127,-58.4211501,40,110 hectáreas de nuevo espacio verde público (2019),Correor Verde del Oeste (Cruce Medrano)
Cramer 475,-34.574644,-58.444806,40,110 hectáreas de nuevo espacio verde público (2019),Plaza Cramer
Av. Alicia Moreau de Justo 2100,-34.623642,-58.364067,40,110 hectáreas de nuevo espacio verde público (2019),Dique 0
Av. Coronel Ramón Lorenzo Falcon y Av. Olivera,-34.636795,-58.486852,40,110 hectáreas de nuevo espacio verde público (2019),El Olimpo
Av. Piedra Buena y Av. José I. de la Rosa,-34.670808,-58.493537,40,110 hectáreas de nuevo espacio verde público (2019),Elefante Blanco
Olavarría y Av. Vélez Sarsfield,-34.64434062,-58.3914273,40,110 hectáreas de nuevo espacio verde público (2019),Estación Buenos Aires
Av. Belgrano y Catamarca,-34.61400942,-58.405714,40,110 hectáreas de nuevo espacio verde público (2019),Manzana 66
Tte. Gral. Juan Domingo Perón y Av. Díaz Vélez,-34.60807712,-58.4134267,40,110 hectáreas de nuevo espacio verde público (2019),Parque de la Estación
Av. Paseo Colón y Moreno,-34.610576,-58.368755,40,110 hectáreas de nuevo espacio verde público (2019),Parque del Bajo
Elcano y Del Campo,-34.590965,-58.466367,40,110 hectáreas de nuevo espacio verde público (2019),Plaza Elcano
Padre Carlos Mugica,-34.58229471,-58.3868021,40,110 hectáreas de nuevo espacio verde público (2019),Parque Lineal Illia
Av. Don Pedro de Mendoza y California,-34.642134,-58.358362,40,110 hectáreas de nuevo espacio verde público (2019),Paseo de la Ribera Etapa 1
Av. Don Pedro de Mendoza y Carlos F. Melo,-34.647301,-58.361747,40,110 hectáreas de nuevo espacio verde público (2019),Paseo de la Ribera Etapa 2
Av. Leandro N. Alem y Tucumán,-34.60044373,-58.3705314,40,110 hectáreas de nuevo espacio verde público (2019),Paseo del Bajo
Beiró y Estado Plurinacional de Bolivia,-34.592855,-58.490776,40,110 hectáreas de nuevo espacio verde público (2019),Plaza Paso Bajo Nivel Beiró
Figueroa Alcorta y Romero,-34.583302,-58.3905,40,110 hectáreas de nuevo espacio verde público (2019),Plaza República Federativa de Brasil
Monroe y Homberg,-34.568929,-58.477616,40,110 hectáreas de nuevo espacio verde público (2019),Plaza Monroe
Empedrado 2391,-34.599752,-58.48147,40,110 hectáreas de nuevo espacio verde público (2019),Plaza Empedrado
Godoy Cruz y Paraguay,-34.582056,-58.429106,40,110 hectáreas de nuevo espacio verde público (2019),Plaza de las Ciencias
Aguaribay y Gana,-34.632978,-58.52661,40,110 hectáreas de nuevo espacio verde público (2019),PP Aguaribay 6768
Albarracin y Av. Vernet,-34.633928,-58.430381,40,110 hectáreas de nuevo espacio verde público (2019),PP Albarracín 1470
Av. Gral. Francisco Fernandez de la Cruz y Av. Escalada,-34.67596282,-58.4541623,40,110 hectáreas de nuevo espacio verde público (2019),Villa Olimpica
Av. 27 de Febrero y Arroyo Cildañez,-34.680132,-58.441234,40,110 hectáreas de nuevo espacio verde público (2019),Parque natural Lugano
Tucumán y Talcahuano,-34.600943,-58.384611,40,110 hectáreas de nuevo espacio verde público (2019),Plaza Lavalle
Av. Rivadavia y Av. 25 de Mayo,-34.609167,-58.387692,40,110 hectáreas de nuevo espacio verde público (2019),Plaza Congreso
Av. Asamblea y Emilio Mitre,-34.633843,-58.443101,40,110 hectáreas de nuevo espacio verde público (2019),Parque Chacabuco
Aguaribay y Gana,-34.632978,-58.52661,5,12 plazas nuevas (2019),Plaza Aguaribay 6768
Albarracin y Av. Vernet,-34.633928,-58.430381,5,12 plazas nuevas (2019),Plaza Albarracín 1470
Empedrado 2391,-34.599752,-58.48147,5,12 plazas nuevas (2019),Plaza Empedrado
Cramer 475,-34.574644,-58.444806,5,12 plazas nuevas (2019),Plaza Cramer
Beiró y Estado Plurinacional de Bolivia,-34.592855,-58.490776,5,12 plazas nuevas (2019),Plaza Paso Bajo Nivel Beiró
Figueroa Alcorta y Romero,-34.583302,-58.3905,5,12 plazas nuevas (2019),Plaza República Federativa de Brasil
Monroe y Homberg,-34.568929,-58.477616,5,12 plazas nuevas (2019),Plaza Monroe
Godoy Cruz y Paraguay,-34.582056,-58.429106,5,12 plazas nuevas (2019),Plaza de las Ciencias
Elcano y Del Campo,-34.590965,-58.466367,5,12 plazas nuevas (2019),Plaza Elcano
PEPIRI 135,-34.640615,-58.410583,25,12 Polideportivos y 4 grandes parques renovados (2019),Polideportivo Parque Patricios
MERCEDES 1300,-34.622349,-58.49116,25,12 Polideportivos y 4 grandes parques renovados (2019),Renovación - POLIDEPORTIVO POMAR
PATRON 6222,-34.646593,-58.513606,25,12 Polideportivos y 4 grandes parques renovados (2019),Renovación - POLIDEPORTIVO SANTOJANNI
"PERON, EVA AV. 1410",-34.633089,-58.444696,25,12 Polideportivos y 4 grandes parques renovados (2019),Renovación - POLIDEPORTIVO CHACABUCO
ORURO 1300,-34.626122,-58.40855,25,12 Polideportivos y 4 grandes parques renovados (2019),Renovación - POLIDEPORTIVO MARTIN FIERRO
"DE LA TORRE, LISANDRO AV. y MONTE",-34.667324,-58.495949,25,12 Polideportivos y 4 grandes parques renovados (2019),Renovación - POLIDEPORTIVO DORREGO
DE LOS CONSTITUYENTES AV. 3050,-34.591791,-58.476406,25,12 Polideportivos y 4 grandes parques renovados (2019),Renovación - POLIDEPORTIVO COSTA RICA
"FREIRE, RAMON, CAP. GRAL. 234",-34.57947,-58.444687,25,12 Polideportivos y 4 grandes parques renovados (2019),Renovación - POLIDEPORTIVO COLEGIALES
"MISTRAL, GABRIELA 3819",-34.594515,-58.51373,25,12 Polideportivos y 4 grandes parques renovados (2019),Renovación - POLIDEPORTIVO ONEGA
